text,label
idi chala darunamga undi,Disgust
nenu chala badhaga unnanu,Sadness
"chala anandanga undi, excellent work",Happiness
"ఇంటికి తిరిగి వస్తుండగా, ఓ రాయి తట్టుకొని పడ్డాను, నేను కొన్న పాలన్నీ నేల మీద ఒలికిపోయాయి.",Sadness
నా పెట్టుబడులు నాకు పదవీ విరమణకు కావలసినంత ఇచ్చాయి.,Happiness
"నేను ఆగి, షాపింగ్ చేయాలనుకున్న మార్కెట్లో టూర్ గైడ్ మమ్మల్ని హడావిడి పెట్టడంతో నాకు చిరాకేసింది.",Anger
"ఈ హ్యాకర్లు జనాల గోప్యతమీద దాడి చేసేసి, వాళ్ల సమాచారాన్ని దోచుకోగలం అనుకుంటున్నందుకు మండిపోతోంది. ఇది అధికారాన్ని ఘోరంగా దుర్వినియోగం చెయ్యటమే.",Anger
"నేను హైదరాబాద్లో ఓ క్విజ్ పోటీలో గెలిచాక, న్యూస్ పేపర్లో నా ఫోటో చూసుకుని గాలిలో తేలిపోయాను!.",Happiness
"క్లాసు జరుగుతుండగా కొంత మంది మాట్లాడే విధానం చిరాకు తెప్పిస్తుంది, బోర్డు మీద మేకులతో రాస్తున్నట్టు శబ్దం చేస్తారు.",Disgust
పెద్ద ఆసుపత్రులకు చెందిన డాక్టర్లై ఉండి కూడా ఆ స్పెషలిస్ట్ డాక్టర్లు నా తలనొప్పి సమస్యకు పరిష్కారం కనుక్కోలేకపోవడం విచిత్రం.,Surprise
"ఆగాగు! ఏంటి ఈ నెక్లెస్ చేతితో తయారు చేసినదా? దీనికున్న డీటయిలింగ్ స్థాయి, ప్రామాణికత చూస్తుంటే నేను అనుకున్న దాన్ని మించిపోయాయి!",Surprise
హైదరాబాద్లో ఉన్న స్వాంక్ హోటల్లో నేను జిమ్ సౌకర్యాలను వాడానని నా దగ్గర ఎక్స్ట్రా డబ్బులు తీసుకునేసరికి చిరాకేసింది.,Anger
"అబ్బో, ఇది వింటే అద్భుతంగా ఉంది! దీని ప్రయత్నించాలని ఆత్రుతగా ఉంది.",Surprise
"ఆ క్యూఆర్ కోడ్ను స్కాన్ చేయొద్దు. చేస్తే, నీ డబ్బంతా  పోగొట్టుకుంటావని అనిపిస్తోంది.",Fear
"లోపభూయిష్ట వాల్వ్ వలన గ్యాస్ సరఫరాకు అంతరాయం కలిగేసరికి మేం పస్తు ఉండాల్సి వచ్చింది, దాంతో చాలా బాధపడ్డాను.",Sadness
నా ఫ్రెండ్స్లో ఒకతను తనకు తెలియని వాళ్ళతో అంత తేలికగా ఎలా కనెక్ట్ అవుతాడో అనేది ఆశ్చర్యమనిపిస్తుంది.,Surprise
లేదు! అంత ఎక్కువ వడ్డీ రేట్లు ఉండే రుణం మీద మాకు ఇంట్రెస్ట్ లేదు.,Disgust
"సరైన అద్దె చోటు దొరకడం ఇప్పటికే ఒక సవాలుగా ఉంది, ఇక అదనపు చార్జీల ఆలోచన కష్టాలను ఇంకా పెంచుతుంది. నా బడ్జెట్ కొంచెం ఎక్కువ సాగితే బావుండు అని నిజంగా అనిపించింది.",Sadness
"ముఖ్యమైన లావాదేవీలు, రసీదులను ఎవరూ ఫైల్ చెయ్యక, ఆఫీసు అంతటా చెల్లాచెదురుగా పడి ఉండటం చూస్తే నాకు కోపం రేగుతుంది.",Anger
"ఆమె జోక్ ఏమీ చెప్ప లేదు, ఊరికే నన్ను ఎగతాళి చేస్తుండింది.",Sadness
"సంస్థలో ఖర్చులను తగ్గించాల్సిన అవసరం గురించి మీరు, నేను ఒకేలా ఆలోచిస్తున్నందుకు సంతోషంగా ఉంది.",Happiness
కంపెనీ ఆర్థిక నివేదికల గురించి మీరు అంత నిర్లక్ష్యంగా ఎలా ఉండగలరో నాకు అర్థం అవట్లేదు. ఈ సంవత్సరం అవి మొత్తం గందరగోళంగా ఉన్నాయి.,Anger
"వాళ్ళు నాకు విరిగిపోయిన షవర్ ఉన్న గది ఇచ్చారు, నేను కోపంతో ఫిర్యాదు చేసినా దానిని మార్చలేదు.",Anger
"నేను అద్దెకు తీసుకుంటున్న పొరుగు ప్రాంతం భద్రంగా, సురక్షితంగా ఉంటుందని అనుకుంటున్నాను, ముఖ్యంగా నా కుటుంబ అవసరాలను గురించి ఆలోచిస్తే.",Fear
ఈ బస్సు సేవ ఎంత నమ్మదగనిదో కదా! దారిలో బ్రేకుడౌన్ అవడంవల్ల  నా ముఖ్యమైన అపాయింట్మెంట్కు ఆలస్యం అయ్యాను!,Anger
"కానీ కొంచెమే స్థలం ఉన్నందువల్ల, కేక్ మీద ఒక చిన్న మెసేజ్ మాత్రమే పెట్టగలము. కేక్ మీద చిన్న పదాలు రాద్దామని మా సలహా.",Sadness
