text,label
"ನನಗೆ ತುಂಬಾ ದುಃಖವಾಗಿದೆ, ಏನು ಮಾಡಬೇಕೆಂದು ತಿಳಿಯುತ್ತಿಲ್ಲ",Sadness
ನಾನು ಇದನ್ನು ನೋಡಿ ಆಶ್ಚರ್ಯಚಕಿತನಾದೆ!,Surprise
ಇದು ನೋಡಲು ಅಸಹ್ಯವಾಗಿದೆ,Disgust
"ಒಲವು ಅಥವಾ ಪಕ್ಷಪಾತದ ಕಾರಣದಿಂದ ವ್ಯಕ್ತಿಗಳು ಅನ್ಯಾಯವಾಗಿ ವರ್ತಿಸಿದಾಗ ಅದು ಕೋಪೋದ್ರಿಕ್ತವಾಗಿ ವರ್ತಿಸುತ್ತದೆ, ಇದು ಆಕ್ರೋಶ ಭಾವನೆಯನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ.",Anger
ನನಗೆ ಅವನ ಧರ್ಮದ ಮೇಲೆ ದ್ವೇಷ ಹುಟ್ಟಿದೆ.,Anger
4. ನಿರ್ಣಯ ಅಥವಾ ಚಿಕಿತ್ಸೆಯಲ್ಲಿ ಪಕ್ಷಪಾತವನ್ನು  ಅನುಭವಿಸುವುದು ಒಳಾಂಗಗಳ ಕೋಪವನ್ನು ಪ್ರಚೋದಿಸುತ್ತದೆ.,Anger
5. ಪಕ್ಷಪಾತದ ಕಾರಣದಿಂದ  ಕಡೆಗಣಿಸಲ್ಪಟ್ಟಿರುವ ಗ್ರಹಿಕೆಯು ಆಳವಾದ ಕೋಪ ಮತ್ತು ದ್ರೋಹದ ಭಾವನೆಯನ್ನು ಪ್ರಚೋದಿಸುತ್ತದೆ.,Anger
"6. ವೈಯಕ್ತಿಕ ಪಕ್ಷಪಾತಗಳ ಆಧಾರದ ಮೇಲೆ ವ್ಯಕ್ತಿಗಳಿಗೆ ಆದ್ಯತೆ ನೀಡಿದಾಗ ಅದು ಕೋಪವನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ, ಇದು ಕೋಪದ ಭಾವನೆಗಳಿಗೆ ಕಾರಣವಾಗುತ್ತದೆ.",Anger
"7. ಇತರರ ಪಕ್ಷಪಾತದ  ಕ್ರಮಗಳು ಕೋಪ ಮತ್ತು ಅಸಮಾಧಾನವನ್ನು ಕೆರಳಿಸಬಹುದು, ವಿಶೇಷವಾಗಿ ಅವರು ಅಸಮಾನ ಚಿಕಿತ್ಸೆಗೆ ಕಾರಣವಾಗುತ್ತಾರೆ.",Anger
8. ಸಮಾನ ಅವಕಾಶಗಳ ನಿರಾಕರಣೆದಿಂದಾಗಿ  ನ್ಯಾಯದ ಕೋಪ ಮತ್ತು ನ್ಯಾಯದ ಆವೇಶ ಉತ್ತೇಜಿಸುತ್ತದೆ.,Anger
9. ಇತರರ ಮೇಲೆ ಪಕ್ಷಪಾತದ ಋಣಾತ್ಮಕ ಪರಿಣಾಮಗಳಿಗೆ ಸಾಕ್ಷಿಯಾಗುವುದು ಅನ್ಯಾಯ ಮತ್ತು ಹಾನಿಯ ಬಗ್ಗೆ ಕೋಪ ಮತ್ತು ದ್ವೇಷವನ್ನು ಪ್ರಚೋದಿಸುತ್ತದೆ.,Anger
ಪಕ್ಷಪಾತವು ನಿರ್ಧಾರಗಳು ಮತ್ತು ಕ್ರಿಯೆಗಳ ಮೇಲೆ ಪ್ರಭಾವ ಎಂಬ ಅರಿವು ಕೋಪ ಮತ್ತು ಭ್ರಮನಿರಸನವನ್ನು ಕೆರಳಿಸಬಹುದು.,Anger
11. ನಿರ್ಧಾರ ತೆಗೆದುಕೊಳ್ಳುವಲ್ಲಿ ನ್ಯಾಯಸಮ್ಮತತೆ ಮತ್ತು ನಿಷ್ಪಕ್ಷಪಾತದ ಕೊರತೆಯ ಗ್ರಹಿಕೆಯು ಕೋಪ ಮತ್ತು ಅಪನಂಬಿಕೆಯ ಭಾವವನ್ನು ಹೊತ್ತಿಸಬಹುದು.,Anger
"12. ವ್ಯಕ್ತಿಗಳು ಒಲವು ತೋರಿಸಲು ತಮ್ಮ ಅಧಿಕಾರವನ್ನು ದುರುಪಯೋಗಪಡಿಸಿಕೊಂಡಾಗ ಅದು ಕೆರಳಿಸುತ್ತದೆ, ಇದು ಅನ್ಯಾಯ ಮತ್ತು ಕೋಪದ ಭಾವನೆಯನ್ನು ಉಂಟುಮಾಡುತ್ತದೆ.",Anger
13. ಪಕ್ಷಪಾತದ ಕಾರಣದಿಂದ ಕೆಲವು ವ್ಯಕ್ತಿಗಳಿಗೆ ನೀಡಲಾದ ಅನ್ಯಾಯದ ಅನುಕೂಲಗಳು ಅಥವಾ ಸವಲತ್ತುಗಳು ಕಡೆಗಣಿಸಲ್ಪಟ್ಟವರಲ್ಲಿ ಕೋಪ ಮತ್ತು ದ್ವೇಷ ಭಾವನೆಗಳನ್ನು ಉಂಟುಮಾಡಬಹುದು.,Anger
