text,label
"मला हे अजिबात आवडले नाही, राग येतोय",Anger
"he khupach bhari ahe, mast",Happiness
mala khup bhiti vatat ahe,Fear
मी या विषयात इतका कच्चा आहे की त्याच्याशी निगडीत पुस्तकं वाचायचीही भीती वाटते मला.,Fear
शेअर बाजारातल्या फुगवट्याच्या शक्यतेमुळे मला थोडी भीती वाटते आहे.,Fear
मला भीती वाटत होती की जर मी पोलिसांना सांगितले की माझ्याकडे सी.सी.टी.व्ही. कॅमेरा नाहीत तर आमच्यावर टीका केली जाईल आणि ते बसवण्यास आम्हाला भाग पाडले जाईल.,Fear
बँकिंग क्षेत्रातल्या ज्या लोकांकडे मी विश्वासाने पाहिले ते फसवणूक करणारे निघाल्याचे निष्पन्न झाल्यानंतर मी निराश झालो.,Sadness
"अरेरे, हे खूप निराश करणारे आहे. मला तर माझ्या बजेटमध्ये काहीतरी मिळेल अशी आशा होती.",Disgust
या वर्षाच्या सुरुवातीला बिटकॉइन क्रॅश होण्यापूर्वी मी त्यात गुंतवणूक केली नाही याबद्दल मी खुश आहे.,Happiness
मलाच मारण्यासाठी तो माणूस गाडीतून उतरतोय असं दिसतंय.,Fear
उडी मारण्यासाठी स्की जंपच्या वर उभा राहिल्यावर ॲलेक्सच्या पोटात गोळाच आला.,Fear
एकदा तर मी एका विद्यार्थ्याला त्याच्या हाताने त्याचे नाक साफ करून नंतर तेच उत्तरपत्रिकेवर पुसतानाही बघितलंय.,Disgust
त्या कॉमेडियनचं सादरीकरण इतकं विचित्र आणि सक्तीचं वाटतं की मला पुन्हा त्याच्या कार्यक्रमाला उपस्थित राहायची इच्छा नाही.,Disgust
आम्ही अवशेषांमधून चालत जाताना गाईडने चोळ राजवंशाच्या गौरवशाली भूतकाळाचे वर्णन केले त्यावेळी तो खूप उत्तेजित झाला होता.,Happiness
"काही राजकीय हितसंबंध गरीब शेतकऱ्याला थेट पैसे मिळण्यापासून रोखत आहेत, हे खेदजनक आहे.",Sadness
त्या माणसाच्या वागण्याचा मला खूप राग आला. जर तो आणखी काही मिनिटे असेच वागला तर मी त्याच्या कानाखाली वाजवेन.,Anger
"आम्ही तुम्हाला निराश नाही करणार, मॅडम. खोलीत एक खास भेटवस्तू पण ठेवलेली असेल तुमच्यासाठी. हॉटेल गेस्ट रिलेशन्स",Happiness
नाझका पठारावर विचित्र रेखाचित्रं आहेत ज्याचं मला तर आकलन सुद्धा होत नाही!,Surprise
या महिन्यात खूप खर्च केल्यावर माझी पत संकटात येऊ शकेल अशी भीती वाटतेय मला.,Fear
दुःखी ग्राहकांना व्यवस्थापक त्यांच्या पैशांसह गायब झाल्याची बातमी पचवताना पाहत मी चिटफंड कार्यालयाच्या बाहेर उभा होतो.,Sadness
"श्शी, तू पुन्हा वेळापत्रकाबद्दल विचारतोयस यावर विश्वासच बसत नाहीये माझा!",Disgust
"जेव्हा मी श्रेया घोषालची गाणी ऐकतो, तेव्हा प्रत्येक वेळी माझ्या अंगावर रोमांच उभे राहतात.",Happiness
माझ्या लॅपटॉपवर क्रॅश होणारे सॉफ्टवेअर तुझ्या लॅपटॉपवर काम करतेय हे ऐकणे आणखी निराशाजनक आहे.,Sadness
तुम्ही एक चांगले नेते आहात आणि तुम्ही या उपक्रमाचे नेतृत्व करत आहात याचा मला आनंद झालाय.,Happiness
ग्राहकाची वरिष्ठ व्यवस्थापन टीम या उपक्रमासाठी महत्त्वपूर्ण असलेल्या धोरणात्मक बैठकीसाठी आली नाही तेव्हा मी भयंकर संतप्त झालो होतो.,Anger
आज माझ्या एका विद्यार्थ्याने लिंक्डइनवर माझा उल्लेख केल्यानंतर मी जणू ढगात तरंगायला लागलो.,Happiness
यक! ते दोघेही बॉल डोक्याने मारण्याचा प्रयत्न करत होते आणि चुकून त्यांचे ओठ लागले एकमेकांना.,Disgust
गोष्टी फोडायला तुझ्याकडे नेहमीच कोणते ना कोणते कारण असते. या वेळी काय आहे?,Disgust
सर! मी म्हणतोय की माझं तिकीट मी रद्द केलंय आणि पैसे अजूनही माझ्या खात्यात जमा झालेले नाहीत. तुम्ही त्यात लक्ष घालताय की नाही?,Anger
"मी शांत राहण्याचा प्रयत्न करणार आहे, पण मी इतक्या दीर्घ काळापासून फक्त वाईट गोष्टींची कल्पना करत आलीये की माझ्यासाठी बदलणे कठीण झाले.",Disgust
त्याला न सांगताच त्याच्या मुलीने हैदराबादमध्ये नोकरी मिळवली तेव्हा माझ्या मित्राच्या डोळ्यासमोर अंधार पसरला.,Surprise
अरे! जुन्या पुस्तकांच्या किमती आकाशाला भिडतायत. त्या परवडणं कठीण होत चाललंय.,Surprise
वाढीव फीमुळे तुमच्या कुटुंबावर नसता आर्थिक ताण येऊ शकतो.,Fear
या मिस वर्ल्ड स्पर्धेसाठी मी डाएट करायला का तयार झाले काय माहित. पिझ्झा खायचाय यार मला.,Sadness
दुचाकी टॅक्सींच्या लोकांमधील वाढत्या लोकप्रियतेवर बेंगळुरूमधील ऑटो रिक्षा संघटना नाराज आहेत.,Anger
"माझ्या मैत्रिणीची मुलगी तिच्या आजीच्या वाढदिवशी गाणं गायल्यानंतर रडत होती, कारण आपण वाईट प्रकारे गायलो असं तिला वाटत होतं.",Sadness
मी माझ्या मुलासाठी खाते उघडायला बँकेत गेलो तेव्हा बँक व्यवस्थापक माझ्याशी ज्याप्रकारे अहंमन्यपणे बोलला ते मला तिरस्करणीय वाटलं.,Disgust
"एक्स वाहिनीवरचे ते टॉक शो होस्ट्स इतके पक्षपाती आहेत, की ते भयावह आहे. ते कधीही संतुलित दृष्टिकोन मांडत नाहीत.",Disgust
चुकीच्या वस्तूची डिलिव्हरी होत असल्यामुळे पॅकेज परत करावं लागणं हे खरोखरच निराशाजनक आहे.,Sadness
तुम्ही या वस्तूवरील वॉरंटीप्रमाणे सेवा देणार नाही यावर माझा विश्वासच बसत नाही.,Anger
"किती जुनी सायकल आहे बघ ती, चेन पूर्ण गंजली आहे तिची.",Disgust
कर्ज मंजूर करून घ्यायला मदत केल्याबद्दल खूप खूप आभार रामराव. अखेरीस आता घर बांधायला सुरुवात करू शकतो मी.,Happiness
काल रुग्णालयात गेलो होतो मी आणि अतिशय किळसवाणे दृश्य होते ते. रुग्ण बेड शेअर करत आहेत आणि स्वच्छतेचे मूलभूत नियमही पाळले जात नाहीयेत.,Disgust
"आहा! एकदाचं चेन्नईचं तिकीट मिळालं. मी बघितलं तेव्हा फक्त थोड्याच जागा शिल्लक होत्या. तुमची मदत खूपच उपयोगी पडली, सर!",Surprise
"मला थोडसं निरुत्साही वाटतंय, कारण आमच्या दुकानाची मांडणी ग्राहकांच्या नेहमीच्या सवयीच्या मांडणीपेक्षा वेगळी आहे.",Sadness
टायटॅनिक पाहण्यासाठी दुर्दैवी पाणबुडीत बुडून गेलेल्या लोकांच्या कुटुंबांचा विचार करताना मला खिन्न वाटतं. व्यक्ती एक,Sadness
या कर्जाचा दीर्घकालीन आर्थिक भार तुम्हाला परवडेल की नाही याबद्दल आम्हाला खात्री नाहीये.,Fear
विरोधी संघाबद्दल प्रशिक्षकानं केलेली अपमानजनक शेरेबाजी अक्षम्य होती.,Disgust
लोकांना मूर्ख बनवण्यासाठी कंपनीने पिरॅमिड मार्केटींगचा ज्या प्रकारे वापर केला ते शिसारी आणणारं आहे.,Disgust
तुम्ही ब्लेड बदलायला का विसरलात? आता चेहऱ्यावर पुरळ उठलंय माझ्या!,Anger
"या संग्रहालयाची योग्य ती देखभाल होत नसल्याने ते काळोखे, घाणेरडे आणि विचित्र दिसते.",Disgust
दारू प्यायलेल्या एका प्रवाशानं प्रचंड तमाशा करून उड्डाणाच्या वेळी खाली बसायलाच नकार दिल्यामुळं आमच्या उड्डाणाला उशीर झाला आणि माझं डोकंच फिरलं.,Anger
"या हॉटेलच्या तरण तलावातल्या स्वच्छतेच्या अभावानं मळमळायला होतं, कारण ते लोक तो पंधरवड्यातून फक्त एकदाच स्वच्छ करतात.",Disgust
"ही बस सेवा ज्या प्रकारे अविश्वसनीय आहे त्यावर मी क्रुद्ध आहे. ती बिघडली, आणि मला माझ्या महत्त्वाच्या भेटीसाठी उशीर झाला.",Anger
तण काढताना माळ्याने चुकून काही गुलाबाची रोपे उपटल्यावर मी माझ्या माळ्याला तडकाफडकी कामावरून काढून टाकले.,Anger
जग इतकं विशाल आहे आणि याक्षणी मी अगदी एकटा आहे कारण मी घरी एकटा बसलो आहे.,Sadness
आम्ही इंटरनेट बँडविड्थ वाढविण्यावर काम करत आलो आहोत आणि जेव्हा तुम्हाला वरच्या मर्यादेपेक्षा जास्त गती मिळाली तेव्हा आम्ही थक्कच झालो.,Surprise
"माझ्या मुलाला माझी सर्वात जास्त गरज होती, तेव्हा मी तिथं नसल्यानं मला फारच उदासीन वाटलं.",Sadness
माझ्या वडिलांच्या तरुणपणीच्या फुटबॉल आणि क्रिकेटमधील कारनाम्यांच्या गोष्टी ऐकताना मला मौज आली.,Happiness
त्यांचा हॉकी संघ त्यांच्या प्रतिस्पर्ध्यांच्या गोलच्या दिशेने पुढे सरकत असताना मुलींमध्ये उत्साहाची लाट उसळली.,Happiness
"मी माझे पोहण्याचे कपडे नेले होते, पण आमच्या संपूर्ण वास्तव्यादरम्यान हॉटेलचा पूल देखभालीसाठी बंद असल्यामुळं मी उद्विग्न झालो.",Sadness
"भावा! तू इतकं जड वजन उचलशील असं कधीच वाटलं नव्हतं मला, वेडा आहेस तू!",Surprise
"इथे बसलं की फार छान वाटतं मला, कॉफी पीत पीत उडणारी विमानं पाहत बसतो मी.",Happiness
तू मला अनपेक्षितपणे इतकी सुंदर भेटवस्तू दिलीस की मी अवाक झाले.,Surprise
आपण कुठेही गेलो तरी रस्त्यावरचे विक्रेते स्थानिक संस्कृतीची झलक दाखवतात.,Happiness
जेव्हा मी रेस्टॉरंटच्या मागच्या दरवाजातून बाहेर टाकलेलं पाऊल थेट मागून वाहणाऱ्या गटारात पडलं तेव्हा घृणेनी मी मागे सरलो.,Disgust
"नाही सर, माझ्या आजोबांची तब्येत ठीक नसल्यामुळे मी काल काम नाही करू शकलो.",Sadness
आमच्याकडे इंटर्न्स असतात तेव्हा असंच घडतं. तुम्ही विमानात चढत असताना त्यांच्यापैकी एकाने दुसऱ्या व्यक्तीच्या सामनाऐवजी तुमचंच सामान उतरवलं.,Disgust
दिवसातून सरासरी तीन ते चार वेळा तरी राग येण्यासाठी ब्रिटन ओळखला जात असे.,Anger
"मी एक मोठ्ठा सौदा यशस्वीरित्या पार पाडला, जो आपल्याला सर्वात मोठ्या बँकांपैकी एक बनवेल आणि आता मला ढगात असल्यासारखं वाटतंय.",Happiness
मला माझ्या शब्दांतून लोकांना दूर ठेवायचे नाही आणि आयुष्यात एकटे पडायचे नाही.,Fear
नोआचा संघ विजयी झाला तेव्हा त्याचा आनंद रसरशीतपणे साजरा करण्यातून ठळकपणे दिसून येत होता.,Happiness
निघण्यापूर्वी वेटरने डोळे मिचकावले माझ्याकडे बघून. खूपच विचित्र आहे तो.,Disgust
