text,label
"valare nallathu, loved it very much",Happiness
"enikk aake pediyavunnu, terrified!",Fear
"ithu valare mosham aanu, angry",Anger
"നമ്മൾ നമ്മുടെ ലക്ഷ്യങ്ങൾ സ്ഥിരമായി നിറവേറ്റിക്കൊണ്ടിരിക്കുകയാണ്, നമ്മൾ ശരിക്കും റിസല്‍ട്ട് കാണാൻ തുടങ്ങുകയാണ്.",Happiness
ഞങ്ങളുടെ പുതിയ പദ്ധതിക്ക് വേണ്ട ഫണ്ടിങ് ശരിയാക്കാൻ ഞങ്ങൾക്ക് കഴിഞ്ഞില്ല.,Sadness
എന്‍റെ മകൾ പത്മ സ്പോർട്സിൽ വളരെ മിടുക്കിയാ. കഴിഞ്ഞ വർഷം നൂറ്  മീറ്റർ ഓട്ടത്തിൽ അവൾ ഒന്നാം സ്ഥാനത്തെത്തി.,Happiness
നിക്ഷേപ തട്ടിപ്പുകൾക്ക് ഇരയാകുന്നവരുടെ എണ്ണം കണ്ട് എനിക്ക് വിശ്വസിക്കാന്‍ ആവുന്നില്ല. അത്യാര്‍ത്തിയുടെ ഫലം!,Surprise
"ഗൈഡഡ് ടൂർ ഒരു അടുക്കും ചിട്ടയുമില്ലാത്ത രീതിയിലായിരുന്നു, പറയണ്ട ചില പ്രധാന വിവരങ്ങളൊന്നും അവർ പറഞ്ഞില്ല.",Sadness
"നീ ഒരു തെറ്റ് ചെയ്തിട്ട് , ഞാൻ അത് ചൂണ്ടിക്കാണിക്കുമ്പോൾ എന്നോട് അട്ടഹസിക്കുന്നു .",Disgust
നിങ്ങൾ എനിക്ക് ഇത്രയും കൊള്ളരുതാത്ത സാധനം തരുമെന്ന് ഞാൻ പ്രതീക്ഷിച്ചില്ല.,Anger
കടയിലെ റഫ്രിജറേറ്ററിലെ സാധനങ്ങളുടെ  ദുർഗന്ധം  അസഹ്യമാ.,Disgust
ഞങ്ങളുടെ ഭക്ഷണം ലഭിക്കുന്നതിലെ കാലതാമസത്തെക്കുറിച്ച് ഞാൻ ആശങ്കാകുലനാണ്. ഇത് അതിന്റെ ഗുണനിലവാരത്തെ ബാധിച്ചിട്ടുണ്ടാകാം.,Fear
കുറെ അനാവശ്യ ചോദ്യങ്ങൾ ചോദിക്കാതെ കേക്ക് ഉണ്ടാക്കൂ.,Anger
"ഹായ് രവി, ഞാൻ റിസൾട്ടുകൾ  നോക്കി, അവ വളരെ പ്രതീക്ഷ നൽകുന്നതാണ് ട്ടോ .",Happiness
കഴിഞ്ഞ വേനൽക്കാലം നല്ല രസായിരുന്നു . എനിക്ക് ഇഷ്ടപ്പെട്ട എല്ലാ വീഡിയോ ഗെയിമുകളും ഞാൻ വീണ്ടും കളിച്ചു.,Happiness
ഈ സ്റ്റോറിലെ വിശ്രമമുറികൾ മോശമായതിനാല്‍ എനിക്കത് ഉപയോഗിക്കാനേ ഇഷ്ടല്ല.,Disgust
"ഞാൻ ശരിക്കും പ്രതീക്ഷിച്ച പോലെയൊന്നുമല്ല ഈ പ്രാദേശിക തായ്വാനീസ് ഭക്ഷണങ്ങൾ, എല്ലാം നല്ല രുചികരമാണ്.",Surprise
വരാനിരിക്കുന്ന പരിപാടിയുടെ പ്രതീക്ഷകൾ അവര്‍ക്ക് നിറവേറ്റാന്‍ പറ്റുമോന്ന് എനിക്ക് ആശങ്കയുണ്ട്.,Fear
വൗ ! ഈ വാണിജ്യ വാടക വസ്‌തുവിൽ ഇപ്പത്തന്നെ ഓഫീസ് ഫർണിച്ചറുകൾ ഉള്ളത് എത്ര ലാഭമാണ്.,Surprise
ലണ്ടനിലെ ഓയ്‌സ്റ്റർ ടിക്കറ്റ്  മെട്രോയിലും ബസിലും യാത്ര ചെയ്യാൻ  എന്നെ അനുവദിക്കുമെന്ന് എനിക്ക് അറിയില്ലായിരുന്നു.,Surprise
മുൻനിരയിലെ സീറ്റുകളിൽ  ഇരിക്കണ്ട. അയാൾ എന്നോട് വേദിയിലേക്ക് വരാൻ പറഞ്ഞാലോ!,Fear
"ഒരു സത്യസന്ധതയില്ലാത്ത, ഡ്യൂപ്ലിക്കേറ്റ്  കളിപ്പാട്ടങ്ങൾ  വിൽക്കുന്ന, വിതരണക്കാരുമായിട്ടാ  നിങ്ങടെ ടൈ അപ്പ്! അങ്ങനെ ചിന്തിക്കുന്നത് പോലും എന്നെ അമ്പരപ്പിക്കുന്നു.",Disgust
ആൾക്കാരെ പുറത്താക്കാനുള്ള ഈ തീരുമാനം കമ്പനിയെ സാരമായി തന്നെ ബാധിക്കും.,Sadness
കസ്റ്റമര്‍ കേക്കിന് എത്ര വെയിറ്റ്  വേണമെന്ന് പറഞ്ഞില്ലല്ലോ. അയാള്‍ പോവുകേം ചെയ്തു.,Fear
ഒരു കാര്യവും ഇല്ലാതെ കൂട്ടിയ ബാങ്കിങ് ഫീസിന് റീഫണ്ട് കിട്ടിയപ്പോൾ എന്തൊരു ആശ്വാസമായിരുന്നെന്നോ!,Happiness
വിവാഹിതരായ ദമ്പതികൾക്ക് അവരെ ചൂണ്ടിക്കാണിക്കാൻ മിസാറും അൽകോറും ബൈനറി സ്റ്റാർ ആണെന്ന് ഹിന്ദു മതത്തിലെ നമ്മുടെ പൂർവ്വികർക്ക് അറിയാമായിരുന്നത്രെ.,Surprise
"താങ്ക് യൂ അമ്മേ ! എനിക്ക് ഈ ഡ്രസ്സ് വാങ്ങിയതിന്, എനിക്ക് ഇത് വളരെ ഇഷ്ടപ്പെട്ടു.",Happiness
യു. എസ്. സെനറ്റ് പ്രധാനമന്ത്രി നരേന്ദ്ര മോദിക്ക് വമ്പിച്ച സ്വീകരണമാണ് നൽകിയത്; അതൊന്ന് കാണേണ്ടത് തന്നെയായിരുന്നു.,Happiness
